time,size
0.912,Small
0.744,Medium
0.44,Large
0.521,XLarge
0.88,Small
0.696,Medium
0.784,Large
0.585,XLarge
0.848,Small
0.695,Medium
0.584,Large
0.567,XLarge
0.704,Small
0.942,Medium
0.567,Large
0.504,XLarge
0.68,Small
0.608,Medium
1.208,Large
0.952,XLarge
0.752,Small
1.049,Medium
0.711,Large
0.592,XLarge
0.937,Small
0.783,Medium
0.793,Large
0.584,XLarge
0.744,Small
0.832,Medium
0.906,Large
0.506,XLarge
1.128,Small
0.8,Medium
0.608,Large
0.512,XLarge
0.911,Small
0.56,Medium
0.528,Large
0.494,XLarge
