Monday Mar 31,L
Wednesday Apr 2,W
Thursday Apr 3,W
Friday Apr 4,L
Saturday Apr 5,L
Sunday Apr 6,L
Monday Apr 7,W
Tuesday Apr 8,L
Wednesday Apr 9,W
Thursday Apr 10,L
Friday Apr 11,W
Saturday Apr 12,L
Sunday Apr 13,L
Tuesday Apr 15,L-wo
Wednesday Apr 16,W
Thursday Apr 17,W
Friday Apr 18,L
Saturday Apr 19,W
Sunday Apr 20,W-wo
Monday Apr 21,L
Tuesday Apr 22,L
Wednesday Apr 23,W
Thursday Apr 24,L
Friday Apr 25,W
Saturday Apr 26,W
Sunday Apr 27,L
Tuesday Apr 29,W
Thursday May 1 (1),L
Thursday May 1 (2),L
Friday May 2,W
Saturday May 3,W
Sunday May 4,L
Tuesday May 6,W-wo
Wednesday May 7,W
Friday May 9,L
Saturday May 10,W
Sunday May 11,W
Tuesday May 13,L-wo
Wednesday May 14,W
Thursday May 15,L-wo
Friday May 16,L
Saturday May 17,L
Sunday May 18,L
Tuesday May 20,L
Wednesday May 21,L
Thursday May 22,L
Friday May 23,L-wo
Saturday May 24,L-wo
Sunday May 25,L
Monday May 26,W
Tuesday May 27,W
Wednesday May 28,W
Thursday May 29,W-wo
Friday May 30,W-wo
Saturday May 31,W
Sunday Jun 1,W
Monday Jun 2,L
Tuesday Jun 3,L
Wednesday Jun 4,L-wo
Friday Jun 6,L
Saturday Jun 7,L
Sunday Jun 8,W
Monday Jun 9,L
Tuesday Jun 10,W
Wednesday Jun 11,L
Thursday Jun 12,W
Friday Jun 13,W
Saturday Jun 14,L
Sunday Jun 15,L
Monday Jun 16,W
Tuesday Jun 17,W
Wednesday Jun 18,W-wo
Thursday Jun 19,L
Friday Jun 20,L
Saturday Jun 21,L-wo
Sunday Jun 22,W
Monday Jun 23,L
Tuesday Jun 24,L
Wednesday Jun 25,W
Friday Jun 27,L
Saturday Jun 28,W
Sunday Jun 29,W
Monday Jun 30,L
Tuesday Jul 1,L
Wednesday Jul 2,L
Saturday Jul 5 (1),W-wo
Saturday Jul 5 (2),L
Sunday Jul 6,L
Monday Jul 7,L
Tuesday Jul 8,L
Wednesday Jul 9,W-wo
Thursday Jul 10,W-wo
Friday Jul 11,W
Saturday Jul 12,L
Sunday Jul 13,W
Friday Jul 18,W
Saturday Jul 19,W
Sunday Jul 20,W
Monday Jul 21,W
Tuesday Jul 22,L
Wednesday Jul 23,L
Thursday Jul 24,L
Friday Jul 25,L
Saturday Jul 26,L
Sunday Jul 27,W
Monday Jul 28,L
Tuesday Jul 29,L
Wednesday Jul 30,L
Friday Aug 1,W
Saturday Aug 2,L
Sunday Aug 3,L
Tuesday Aug 5,L
Wednesday Aug 6,W
Thursday Aug 7,L
Friday Aug 8,W
Saturday Aug 9,L-wo
Sunday Aug 10,W
Tuesday Aug 12,W
Wednesday Aug 13,W
Thursday Aug 14,W
Friday Aug 15,L
Saturday Aug 16,W
Sunday Aug 17,L
Monday Aug 18,L
Tuesday Aug 19,L
Wednesday Aug 20,L
Thursday Aug 21,L
Friday Aug 22,L
Saturday Aug 23,L
Sunday Aug 24,L
Monday Aug 25,W
Tuesday Aug 26,W
Wednesday Aug 27,L
Friday Aug 29,W
Saturday Aug 30,L
Sunday Aug 31,W
Monday Sep 1,L-wo
Tuesday Sep 2,W
Wednesday Sep 3,L
Thursday Sep 4,L-wo
Friday Sep 5,W-wo
Saturday Sep 6,W
Sunday Sep 7,L
Monday Sep 8,L
Tuesday Sep 9,L
Wednesday Sep 10,L
Thursday Sep 11,W
Friday Sep 12,W
Saturday Sep 13,L
Sunday Sep 14,W
Tuesday Sep 16,L
Wednesday Sep 17,L
Thursday Sep 18,L
Friday Sep 19,W
Saturday Sep 20,L
Sunday Sep 21,W
Tuesday Sep 23,L
Wednesday Sep 24,W
Thursday Sep 25,W
Friday Sep 26,L
Saturday Sep 27,W
Sunday Sep 28,L
